Time,Open,High,Low,Latest,Change,%Change,Volume
2003-05-20,1.1654,1.1716,1.1607,1.1703,0.005,+0.43%,0
2003-05-21,1.1714,1.1744,1.1666,1.1675,-0.0028,-0.24%,0
2003-05-22,1.1635,1.1729,1.1621,1.1703,0.0028,+0.24%,0
2003-05-23,1.1692,1.1837,1.1669,1.183,0.0127,+1.09%,0
2003-05-26,1.1836,1.1876,1.1802,1.1872,0.0042,+0.36%,0
2003-05-27,1.1876,1.1933,1.1812,1.1818,-0.0054,-0.45%,0
2003-05-28,1.182,1.1846,1.1709,1.1768,-0.005,-0.42%,0
2003-05-29,1.1757,1.1904,1.1695,1.1901,0.0133,+1.13%,0
2003-05-30,1.1913,1.1917,1.1744,1.1775,-0.0126,-1.06%,0
2003-06-02,1.1716,1.1769,1.1654,1.1764,-0.0011,-0.09%,0
2003-06-03,1.1765,1.1781,1.1683,1.1736,-0.0028,-0.24%,0
2003-06-04,1.1729,1.1749,1.1637,1.1649,-0.0087,-0.74%,0
2003-06-05,1.1643,1.1889,1.1632,1.1838,0.0189,+1.62%,0
2003-06-06,1.1846,1.188,1.1686,1.1704,-0.0134,-1.13%,0
2003-06-09,1.1705,1.1788,1.1661,1.1716,0.0012,+0.10%,0
2003-06-10,1.1717,1.1744,1.1671,1.1674,-0.0042,-0.36%,0
2003-06-11,1.1673,1.1781,1.166,1.1752,0.0078,+0.67%,0
2003-06-12,1.175,1.1807,1.1705,1.1762,0.001,+0.09%,0
2003-06-13,1.1767,1.1877,1.1737,1.1863,0.0101,+0.86%,0
2003-06-16,1.1877,1.193,1.1822,1.1822,-0.0041,-0.35%,0
2003-06-17,1.1825,1.1867,1.177,1.1787,-0.0035,-0.30%,0
2003-06-18,1.1786,1.1803,1.1667,1.1694,-0.0093,-0.79%,0
2003-06-19,1.1693,1.1739,1.1586,1.1725,0.0031,+0.27%,0
2003-06-20,1.1722,1.1735,1.1555,1.1602,-0.0123,-1.05%,0
2003-06-23,1.1576,1.1606,1.1509,1.1556,-0.0046,-0.40%,0
2003-06-24,1.156,1.1583,1.1479,1.1511,-0.0045,-0.39%,0
2003-06-25,1.151,1.1623,1.1494,1.1542,0.0031,+0.27%,0
2003-06-26,1.1528,1.1544,1.1416,1.1421,-0.0121,-1.05%,0
2003-06-27,1.1425,1.147,1.14,1.1435,0.0014,+0.12%,0
2003-06-30,1.1431,1.1518,1.1402,1.1514,0.0079,+0.69%,0
2003-07-01,1.1516,1.1611,1.1511,1.1563,0.0049,+0.43%,0
2003-07-02,1.1569,1.1572,1.1506,1.1543,-0.002,-0.17%,0
2003-07-03,1.1537,1.1544,1.1435,1.1495,-0.0048,-0.42%,0
2003-07-04,1.15,1.1503,1.1451,1.1488,-0.0007,-0.06%,0
2003-07-07,1.1478,1.1485,1.1316,1.1324,-0.0164,-1.43%,0
2003-07-08,1.1316,1.1355,1.1261,1.1319,-0.0005,-0.04%,0
2003-07-09,1.1321,1.137,1.1308,1.1348,0.0029,+0.26%,0
2003-07-10,1.1351,1.1395,1.1312,1.1378,0.003,+0.26%,0
2003-07-11,1.1379,1.1388,1.1275,1.1296,-0.0082,-0.72%,0
2003-07-14,1.1298,1.1309,1.1243,1.1281,-0.0015,-0.13%,0
2003-07-15,1.128,1.134,1.1158,1.1169,-0.0112,-0.99%,0
2003-07-16,1.1179,1.1233,1.1116,1.1218,0.0049,+0.44%,0
2003-07-17,1.1219,1.1251,1.1157,1.1211,-0.0007,-0.06%,0
2003-07-18,1.1215,1.1307,1.1175,1.1276,0.0065,+0.58%,0
2003-07-21,1.1263,1.136,1.1244,1.1355,0.0079,+0.70%,0
2003-07-22,1.1353,1.1374,1.1309,1.1331,-0.0024,-0.21%,0
2003-07-23,1.1327,1.1491,1.1317,1.1485,0.0154,+1.36%,0
2003-07-24,1.1486,1.1513,1.1425,1.1474,-0.0011,-0.10%,0
2003-07-25,1.1477,1.1551,1.1445,1.151,0.0036,+0.31%,0
2003-07-28,1.1472,1.1521,1.1453,1.1495,-0.0015,-0.13%,0
2003-07-29,1.1495,1.154,1.1437,1.1452,-0.0043,-0.37%,0
2003-07-30,1.1442,1.1451,1.1337,1.1345,-0.0107,-0.93%,0
2003-07-31,1.1343,1.1369,1.1227,1.1238,-0.0107,-0.94%,0
2003-08-01,1.1231,1.1275,1.1135,1.1269,0.0031,+0.28%,0
2003-08-04,1.1284,1.1377,1.1262,1.1362,0.0093,+0.83%,0
2003-08-05,1.136,1.14,1.1307,1.1388,0.0026,+0.23%,0
2003-08-06,1.1389,1.1426,1.1328,1.1336,-0.0052,-0.46%,0
2003-08-07,1.1336,1.1416,1.1321,1.1375,0.0039,+0.34%,0
2003-08-08,1.1373,1.1384,1.1289,1.1306,-0.0069,-0.61%,0
2003-08-11,1.1303,1.1379,1.1264,1.1363,0.0057,+0.50%,0
2003-08-12,1.1359,1.1375,1.1278,1.1285,-0.0078,-0.69%,0
2003-08-13,1.1284,1.1334,1.1221,1.1321,0.0036,+0.32%,0
2003-08-14,1.1323,1.1338,1.1227,1.1287,-0.0034,-0.30%,0
2003-08-15,1.1263,1.1297,1.1243,1.1255,-0.0032,-0.28%,0
2003-08-18,1.1255,1.1271,1.1125,1.1148,-0.0107,-0.95%,0
2003-08-19,1.1148,1.1152,1.1056,1.114,-0.0008,-0.07%,0
2003-08-20,1.1138,1.1148,1.1082,1.1119,-0.0021,-0.19%,0
2003-08-21,1.112,1.1123,1.0886,1.0928,-0.0191,-1.72%,0
2003-08-22,1.0922,1.0947,1.0836,1.0885,-0.0043,-0.39%,0
2003-08-25,1.0854,1.0919,1.0849,1.0865,-0.002,-0.18%,0
2003-08-26,1.0875,1.091,1.0794,1.087,0.0005,+0.05%,0
2003-08-27,1.0856,1.0933,1.0833,1.0879,0.0009,+0.08%,0
2003-08-28,1.0888,1.0914,1.0812,1.0882,0.0003,+0.03%,0
2003-08-29,1.0883,1.1,1.0873,1.0978,0.0096,+0.88%,0
