Time,Open,High,Low,Latest,Change,%Change,Volume
2002-04-19,130.01,130.64,129.9,130.36,0.47,+0.36%,0
2002-04-22,130.5,130.71,129.66,129.97,-0.39,-0.30%,0
2002-04-23,130.03,130.29,129.76,130.15,0.18,+0.14%,0
2002-04-24,130.2,130.43,129.45,129.51,-0.64,-0.49%,0
2002-04-25,129.6,129.69,128.18,128.56,-0.95,-0.73%,0
2002-04-26,128.7,128.9,127.79,127.88,-0.68,-0.53%,0
2002-04-29,127.93,128.27,127.66,128.08,0.2,+0.16%,0
2002-04-30,127.97,128.65,127.74,128.55,0.47,+0.37%,0
2002-05-01,128.55,128.67,127.16,127.45,-1.1,-0.86%,0
2002-05-02,127.45,128.13,126.98,127.94,0.49,+0.38%,0
2002-05-03,127.9,128.02,126.86,126.99,-0.95,-0.74%,0
2002-05-06,127.03,127.51,126.9,127.28,0.29,+0.23%,0
2002-05-07,127.18,128.35,126.79,127.97,0.69,+0.54%,0
2002-05-08,128.04,128.8,127.87,128.77,0.8,+0.63%,0
2002-05-09,128.88,129.07,128.13,128.37,-0.4,-0.31%,0
2002-05-10,128.32,128.7,127.51,127.56,-0.81,-0.63%,0
2002-05-13,127.68,127.85,127.21,127.76,0.2,+0.16%,0
2002-05-14,127.8,128.79,127.72,128.57,0.81,+0.63%,0
2002-05-15,128.54,128.64,127.61,127.72,-0.85,-0.66%,0
2002-05-16,127.67,128.42,127.37,128.18,0.46,+0.36%,0
2002-05-17,128.15,128.19,125.55,125.81,-2.37,-1.85%,0
2002-05-20,125.99,126.21,125.18,125.35,-0.46,-0.37%,0
2002-05-21,125.31,126.07,123.75,124.1,-1.25,-1.00%,0
2002-05-22,124.18,125.06,123.53,124.21,0.11,+0.09%,0
2002-05-23,124.19,125.33,123.88,124.96,0.75,+0.60%,0
2002-05-24,125.11,125.28,124.63,124.72,-0.24,-0.19%,0
2002-05-27,124.79,125.05,124.67,124.74,0.02,+0.02%,0
2002-05-28,124.85,124.93,124.33,124.47,-0.27,-0.22%,0
2002-05-29,124.59,124.69,124.15,124.32,-0.15,-0.12%,0
2002-05-30,124.36,124.4,122.8,123.21,-1.11,-0.89%,0
2002-05-31,123.38,124.51,123.02,124.27,1.06,+0.86%,0
2002-06-03,124.26,124.47,123.63,123.79,-0.48,-0.39%,0
2002-06-04,123.6,124.37,123.29,123.93,0.14,+0.11%,0
2002-06-05,124.13,124.71,123.92,124.46,0.53,+0.43%,0
2002-06-06,124.37,125.04,123.81,124.24,-0.22,-0.18%,0
2002-06-07,124.15,124.65,124.05,124.43,0.19,+0.15%,0
2002-06-10,124.43,124.93,124.32,124.69,0.26,+0.21%,0
2002-06-11,124.78,125.78,124.44,125.32,0.63,+0.51%,0
2002-06-12,125.33,125.88,125.22,125.67,0.35,+0.28%,0
2002-06-13,125.7,125.9,124.83,124.97,-0.7,-0.56%,0
2002-06-14,124.89,125.12,123.95,124.08,-0.89,-0.71%,0
2002-06-17,124.25,124.51,124.06,124.44,0.36,+0.29%,0
2002-06-18,124.28,124.82,124.25,124.33,-0.11,-0.09%,0
2002-06-19,124.33,124.37,123.66,123.81,-0.52,-0.42%,0
2002-06-20,123.87,124.21,123.26,123.38,-0.43,-0.35%,0
2002-06-21,123.54,123.7,120.84,121.47,-1.91,-1.55%,0
2002-06-24,121.78,122.8,121.01,121.71,0.24,+0.20%,0
2002-06-25,121.69,121.99,121.39,121.5,-0.21,-0.17%,0
2002-06-26,121.38,121.45,118.95,119.72,-1.78,-1.47%,0
2002-06-27,120.05,120.28,119.18,119.43,-0.29,-0.24%,0
2002-06-28,119.66,120.26,118.4,119.54,0.11,+0.09%,0
2002-07-01,119.75,120.17,119.31,120.06,0.52,+0.44%,0
2002-07-02,119.74,120.73,119.69,120.19,0.13,+0.11%,0
2002-07-03,119.85,120.57,119.66,119.72,-0.47,-0.39%,0
2002-07-04,119.79,120.43,119.75,119.99,0.27,+0.23%,0
2002-07-05,120.13,120.64,119.89,120.21,0.22,+0.18%,0
2002-07-08,119.95,120.18,118.44,118.56,-1.65,-1.37%,0
2002-07-09,118.51,118.95,117.75,117.9,-0.66,-0.56%,0
2002-07-10,118.11,118.31,117.38,117.63,-0.27,-0.23%,0
2002-07-11,117.67,117.9,116.51,116.83,-0.8,-0.68%,0
2002-07-12,117.11,117.21,116.5,116.74,-0.09,-0.08%,0
2002-07-15,117.19,117.19,115.66,116.35,-0.39,-0.33%,0
2002-07-16,116.33,116.43,115.54,116.07,-0.28,-0.24%,0
2002-07-17,115.82,116.73,115.65,116.27,0.2,+0.17%,0
2002-07-18,116.33,117.29,116.25,116.68,0.41,+0.35%,0
2002-07-19,116.51,116.64,115.6,115.66,-1.02,-0.87%,0
2002-07-22,115.95,116.67,115.79,116.27,0.61,+0.53%,0
2002-07-23,116.2,117.91,116.18,117.58,1.31,+1.13%,0
2002-07-24,117.56,117.58,115.92,116.75,-0.83,-0.71%,0
2002-07-25,116.63,117.04,116.19,116.43,-0.32,-0.27%,0
2002-07-26,116.48,119.03,116.44,118.88,2.45,+2.10%,0
2002-07-29,118.97,120,118.53,119.73,0.85,+0.72%,0
2002-07-30,119.62,120.28,119.28,120.19,0.46,+0.38%,0
2002-07-31,120.22,120.4,119.48,119.84,-0.35,-0.29%,0
2002-08-01,119.85,120.33,119.05,119.35,-0.49,-0.41%,0
2002-08-02,119.19,119.33,118.76,118.86,-0.49,-0.41%,0
2002-08-05,118.85,119.79,118.66,119.7,0.84,+0.71%,0
2002-08-06,119.68,121.21,119.52,120.76,1.06,+0.89%,0
2002-08-07,120.79,121.08,120.03,120.27,-0.49,-0.41%,0
2002-08-08,120.16,121.14,120.01,120.99,0.72,+0.60%,0
2002-08-09,120.99,121.33,120.05,120.13,-0.86,-0.71%,0
2002-08-12,120.19,120.22,118.8,118.99,-1.14,-0.95%,0
2002-08-13,118.96,119.26,118.76,118.8,-0.19,-0.16%,0
2002-08-14,118.37,118.4,116.33,117.32,-1.48,-1.25%,0
2002-08-15,117.37,117.85,116.91,117.36,0.04,+0.03%,0
2002-08-16,117.37,117.88,117.13,117.75,0.39,+0.33%,0
2002-08-19,117.59,118.72,117.46,118.53,0.78,+0.66%,0
2002-08-20,118.64,119.26,118.43,118.8,0.27,+0.23%,0
2002-08-21,118.81,118.86,117.77,118.51,-0.29,-0.24%,0
2002-08-22,118.52,119.98,118.44,119.98,1.47,+1.24%,0
2002-08-23,119.88,120.28,119.48,119.61,-0.37,-0.31%,0
2002-08-26,119.54,119.88,119.35,119.71,0.1,+0.08%,0
2002-08-27,119.75,119.89,117.98,118.2,-1.51,-1.26%,0
2002-08-28,118.26,118.73,117.94,118.68,0.48,+0.41%,0
2002-08-29,118.87,119.07,117.5,118.2,-0.48,-0.40%,0
2002-08-30,118.3,118.75,117.76,118.44,0.24,+0.20%,0
2002-09-02,118.5,118.8,117.96,118.1,-0.34,-0.29%,0
2002-09-03,118.14,118.17,116.87,117.07,-1.03,-0.87%,0
2002-09-04,116.96,118.35,116.94,118.02,0.95,+0.81%,0
