Time,Open,High,Low,Latest,Change,%Change,Volume
2001-05-10,10.2615,10.297,10.1788,10.2615,-0.0176,-0.17%,0
2001-05-11,10.2456,10.2761,10.2023,10.2456,-0.0159,-0.15%,0
2001-05-14,10.3055,10.3366,10.233,10.3055,0.0599,+0.58%,0
2001-05-15,10.2624,10.3202,10.2418,10.2624,-0.0431,-0.42%,0
2001-05-16,10.2414,10.294,10.222,10.2414,-0.021,-0.20%,0
2001-05-17,10.2289,10.2699,10.2052,10.2289,-0.0125,-0.12%,0
2001-05-18,10.2234,10.2906,10.216,10.2234,-0.0055,-0.05%,0
2001-05-21,10.2147,10.2748,10.1923,10.2147,-0.0087,-0.09%,0
2001-05-22,10.3722,10.4123,10.2008,10.3722,0.1575,+1.54%,0
2001-05-23,10.5225,10.5588,10.3552,10.5225,0.1503,+1.45%,0
2001-05-24,10.5392,10.624,10.4685,10.5392,0.0167,+0.16%,0
2001-05-25,10.5315,10.5919,10.4597,10.5315,-0.0077,-0.07%,0
2001-05-29,10.5805,10.6098,10.5161,10.5805,0.049,+0.47%,0
2001-05-30,10.6025,10.62,10.5383,10.6025,0.022,+0.21%,0
2001-05-31,10.7838,10.8089,10.5884,10.7838,0.1813,+1.71%,0
2001-06-01,10.8812,10.9055,10.7643,10.8812,0.0974,+0.90%,0
2001-06-04,10.9077,10.9477,10.792,10.9077,0.0265,+0.24%,0
2001-06-05,10.8071,10.9802,10.7953,10.8071,-0.1006,-0.92%,0
2001-06-06,10.9227,10.931,10.7465,10.9227,0.1156,+1.07%,0
2001-06-07,10.966,11.029,10.8998,10.966,0.0433,+0.40%,0
2001-06-08,10.9229,11.0231,10.9126,10.9229,-0.0431,-0.39%,0
2001-06-11,11.0047,11.0409,10.9107,11.0047,0.0818,+0.75%,0
2001-06-12,10.9623,11.0395,10.9179,10.9623,-0.0424,-0.39%,0
2001-06-13,10.8269,10.9657,10.7827,10.8269,-0.1354,-1.24%,0
2001-06-14,10.6989,10.896,10.66,10.6989,-0.128,-1.18%,0
2001-06-15,10.6232,10.7192,10.5466,10.6232,-0.0757,-0.71%,0
2001-06-18,10.51,10.6196,10.478,10.51,-0.1132,-1.07%,0
2001-06-19,10.6785,10.6952,10.5154,10.6785,0.1685,+1.60%,0
2001-06-20,10.6994,10.7495,10.632,10.6994,0.0209,+0.20%,0
2001-06-21,10.7426,10.7615,10.6617,10.7426,0.0432,+0.40%,0
2001-06-22,10.6869,10.7645,10.6851,10.6869,-0.0557,-0.52%,0
2001-06-25,10.6439,10.6788,10.5996,10.6439,-0.043,-0.40%,0
2001-06-26,10.6881,10.7545,10.5942,10.6881,0.0442,+0.42%,0
2001-06-27,10.741,10.766,10.6705,10.741,0.0529,+0.49%,0
2001-06-28,10.8846,10.8996,10.7094,10.8846,0.1436,+1.34%,0
2001-06-29,10.8543,10.8897,10.8274,10.8543,-0.0303,-0.28%,0
2001-07-02,10.9563,10.9695,10.8424,10.9563,0.102,+0.94%,0
2001-07-05,11.0078,11.0279,10.8712,11.0078,0.0515,+0.47%,0
2001-07-06,10.9432,11.0445,10.9303,10.9432,-0.0646,-0.59%,0
2001-07-09,10.9676,11.0235,10.9117,10.9676,0.0244,+0.22%,0
2001-07-10,10.8677,10.9396,10.8216,10.8677,-0.0999,-0.91%,0
2001-07-11,10.822,10.9081,10.7694,10.822,-0.0457,-0.42%,0
2001-07-12,10.8391,10.9123,10.8097,10.8391,0.0171,+0.16%,0
2001-07-13,10.795,10.8722,10.7838,10.795,-0.0441,-0.41%,0
2001-07-16,10.7736,10.8002,10.712,10.7736,-0.0214,-0.20%,0
2001-07-17,10.7272,10.8571,10.705,10.7272,-0.0464,-0.43%,0
2001-07-18,10.5843,10.7692,10.5818,10.5843,-0.1429,-1.33%,0
2001-07-19,10.6302,10.6709,10.5232,10.6302,0.0459,+0.43%,0
2001-07-20,10.643,10.6652,10.5498,10.643,0.0128,+0.12%,0
2001-07-23,10.6995,10.7407,10.6518,10.6995,0.0565,+0.53%,0
2001-07-24,10.6518,10.7186,10.6419,10.6518,-0.0477,-0.45%,0
2001-07-25,10.6288,10.691,10.6002,10.6288,-0.023,-0.22%,0
2001-07-26,10.583,10.6421,10.5332,10.583,-0.0458,-0.43%,0
2001-07-27,10.5711,10.6189,10.5521,10.5711,-0.0119,-0.11%,0
2001-07-30,10.5803,10.6147,10.5576,10.5803,0.0092,+0.09%,0
2001-07-31,10.5953,10.6575,10.5441,10.5953,0.015,+0.14%,0
2001-08-01,10.547,10.5892,10.5251,10.547,-0.0483,-0.46%,0
2001-08-02,10.4412,10.5539,10.4382,10.4412,-0.1058,-1.00%,0
2001-08-03,10.3761,10.4789,10.3322,10.3761,-0.0651,-0.62%,0
2001-08-06,10.4119,10.4405,10.3704,10.4119,0.0358,+0.35%,0
2001-08-07,10.4226,10.5009,10.4047,10.4226,0.0107,+0.10%,0
2001-08-08,10.4096,10.4651,10.3989,10.4096,-0.013,-0.12%,0
2001-08-09,10.2583,10.4174,10.234,10.2583,-0.1513,-1.45%,0
2001-08-10,10.2652,10.2947,10.2382,10.2652,0.0069,+0.07%,0
2001-08-13,10.2696,10.282,10.2169,10.2696,0.0044,+0.04%,0
2001-08-14,10.231,10.3151,10.2201,10.231,-0.0386,-0.38%,0
2001-08-15,10.1479,10.2335,10.1269,10.1479,-0.0831,-0.81%,0
2001-08-16,10.1595,10.2003,10.0556,10.1595,0.0116,+0.11%,0
2001-08-17,10.2088,10.2407,10.1451,10.2088,0.0493,+0.49%,0
2001-08-20,10.3512,10.3744,10.1741,10.3512,0.1424,+1.39%,0
2001-08-21,10.3356,10.3898,10.2785,10.3356,-0.0156,-0.15%,0
2001-08-22,10.3424,10.3599,10.223,10.3424,0.0068,+0.07%,0
2001-08-23,10.3016,10.3527,10.2913,10.3016,-0.0408,-0.39%,0
2001-08-24,10.286,10.3422,10.2458,10.2598,-0.0418,-0.41%,0
2001-08-27,10.2471,10.3265,10.2471,10.2745,0.0147,+0.14%,0
2001-08-28,10.2648,10.3787,10.2631,10.2855,0.011,+0.11%,0
2001-08-29,10.2782,10.3919,10.2699,10.3916,0.1061,+1.03%,0
2001-08-30,10.3877,10.4494,10.3348,10.3666,-0.025,-0.24%,0
2001-08-31,10.3715,10.4698,10.3413,10.3891,0.0225,+0.22%,0
2001-09-03,10.4281,10.5163,10.3897,10.5038,0.1147,+1.10%,0
2001-09-04,10.4946,10.7249,10.4924,10.69,0.1862,+1.77%,0
2001-09-05,10.667,10.7648,10.6277,10.6579,-0.0321,-0.30%,0
2001-09-06,10.639,10.7062,10.5649,10.5882,-0.0697,-0.65%,0
2001-09-07,10.5867,10.6471,10.4777,10.4937,-0.0945,-0.89%,0
2001-09-10,10.4853,10.6553,10.48,10.6477,0.154,+1.47%,0
2001-09-11,10.6391,10.6485,10.4647,10.4993,-0.1484,-1.39%,0
2001-09-12,10.4965,10.6403,10.4675,10.5756,0.0763,+0.73%,0
2001-09-13,10.5717,10.59,10.5107,10.5227,-0.0529,-0.50%,0
2001-09-14,10.5355,10.5471,10.375,10.4751,-0.0476,-0.45%,0
2001-09-17,10.4525,10.5589,10.3625,10.452,-0.0231,-0.22%,0
2001-09-18,10.4513,10.58,10.445,10.5305,0.0785,+0.75%,0
2001-09-19,10.5058,10.571,10.437,10.495,-0.0355,-0.34%,0
2001-09-20,10.5025,10.6495,10.4635,10.6025,0.1075,+1.02%,0
2001-09-21,10.5949,10.9371,10.5949,10.8799,0.2774,+2.62%,0
2001-09-24,10.8821,10.8916,10.7575,10.7728,-0.1071,-0.98%,0
