Time,Open,High,Low,Latest,Change,%Change,Volume
2021-08-19,1.2649,1.28297,1.26457,1.28269,0.01782,+1.41%,206495
2021-08-20,1.28264,1.29479,1.2807,1.28102,-0.00167,-0.13%,179525
2021-08-23,1.2826,1.28311,1.26424,1.2645,-0.01652,-1.29%,142172
2021-08-24,1.26448,1.26575,1.25786,1.25872,-0.00578,-0.46%,128881
2021-08-25,1.25871,1.2643,1.25857,1.25896,0.00024,+0.02%,133131
2021-08-26,1.25896,1.26948,1.25852,1.26859,0.00963,+0.76%,141149
2021-08-27,1.26858,1.27076,1.26003,1.26006,-0.00853,-0.67%,144493
2021-08-30,1.26214,1.26333,1.25736,1.26051,0.00045,+0.04%,114059
2021-08-31,1.26043,1.26529,1.2569,1.26135,0.00084,+0.07%,156289
2021-09-01,1.26128,1.26364,1.25802,1.26159,0.00024,+0.02%,139172
2021-09-02,1.26159,1.26373,1.25477,1.25519,-0.0064,-0.51%,126638
2021-09-03,1.25519,1.25586,1.24836,1.24836,-0.00683,-0.54%,150049
2021-09-06,1.25282,1.25584,1.25158,1.25298,0.00462,+0.37%,102159
2021-09-07,1.25301,1.26551,1.2519,1.26454,0.01156,+0.92%,151893
2021-09-08,1.26453,1.27613,1.26258,1.26883,0.00429,+0.34%,174850
2021-09-09,1.26879,1.27269,1.26223,1.26619,-0.00264,-0.21%,180944
2021-09-10,1.26619,1.26938,1.25824,1.26893,0.00274,+0.22%,156399
2021-09-13,1.26842,1.26938,1.2638,1.26425,-0.00468,-0.37%,144001
2021-09-14,1.26424,1.26977,1.2601,1.26923,0.00498,+0.39%,164020
2021-09-15,1.26921,1.2708,1.26222,1.26246,-0.00677,-0.53%,157192
2021-09-16,1.26245,1.26986,1.2616,1.26825,0.00579,+0.46%,154245
2021-09-17,1.26823,1.27714,1.26361,1.2765,0.00825,+0.65%,164411
2021-09-20,1.27599,1.28954,1.27451,1.2812,0.0047,+0.37%,208064
2021-09-21,1.28119,1.28478,1.27425,1.28092,-0.00028,-0.02%,192095
2021-09-22,1.28092,1.2825,1.2698,1.27709,-0.00383,-0.30%,204187
2021-09-23,1.27707,1.27952,1.26332,1.26545,-0.01164,-0.91%,177413
2021-09-24,1.26541,1.27295,1.26348,1.26367,-0.00178,-0.14%,161925
2021-09-27,1.26484,1.26716,1.261,1.26271,-0.00096,-0.08%,166336
2021-09-28,1.2627,1.27065,1.25936,1.26838,0.00567,+0.45%,224999
2021-09-29,1.26837,1.27739,1.26675,1.27458,0.0062,+0.49%,233104
2021-09-30,1.27461,1.27617,1.26301,1.26755,-0.00703,-0.55%,233104
2021-10-01,1.26757,1.2738,1.26203,1.26203,-0.00552,-0.44%,231978
2021-10-04,1.26421,1.2654,1.25576,1.25875,-0.00328,-0.26%,224098
2021-10-05,1.25874,1.26291,1.25458,1.25789,-0.00086,-0.07%,188216
2021-10-06,1.25788,1.26474,1.25705,1.25871,0.00082,+0.07%,232732
2021-10-07,1.25869,1.25988,1.25397,1.25481,-0.0039,-0.31%,177089
2021-10-08,1.2548,1.25615,1.24511,1.24613,-0.00868,-0.69%,186425
2021-10-11,1.24784,1.24914,1.24459,1.24765,0.00152,+0.12%,148812
2021-10-12,1.24765,1.24979,1.24343,1.24659,-0.00106,-0.08%,168385
2021-10-13,1.24657,1.24782,1.24302,1.24412,-0.00247,-0.20%,162130
2021-10-14,1.24413,1.24447,1.23545,1.23687,-0.00725,-0.58%,138464
2021-10-15,1.23682,1.23967,1.23346,1.23346,-0.00341,-0.28%,149141
2021-10-18,1.2372,1.24084,1.23483,1.23771,0.00425,+0.34%,112830
2021-10-19,1.23771,1.23818,1.23104,1.23629,-0.00142,-0.11%,115378
2021-10-20,1.23618,1.23668,1.23066,1.23161,-0.00468,-0.38%,120229
2021-10-21,1.23157,1.23831,1.22881,1.23621,0.0046,+0.37%,151462
2021-10-22,1.23619,1.23892,1.23206,1.23593,-0.00028,-0.02%,168163
2021-10-25,1.23744,1.23991,1.23381,1.23788,0.00195,+0.16%,151114
2021-10-26,1.23785,1.23956,1.235,1.23842,0.00054,+0.04%,139242
2021-10-27,1.23841,1.24311,1.23008,1.23554,-0.00288,-0.23%,159509
2021-10-28,1.23543,1.2382,1.233,1.23421,-0.00133,-0.11%,161970
2021-10-29,1.23421,1.24074,1.23278,1.23839,0.00418,+0.34%,188674
2021-11-01,1.23856,1.24027,1.23516,1.23676,-0.00163,-0.13%,145669
2021-11-02,1.23677,1.24242,1.23628,1.24022,0.00346,+0.28%,151052
2021-11-03,1.24021,1.24563,1.23812,1.2385,-0.00172,-0.14%,176283
2021-11-04,1.23849,1.2471,1.23768,1.24525,0.00675,+0.55%,164465
2021-11-05,1.24521,1.24791,1.24357,1.24521,-0.00004,0.00%,164642
